S.No.,Location Code,Location,Start,Distance,Race Name,Rank 1 Number,Rank 1 Name,Rank 1 Rider,Rank 1 W,Rank 1 P,Rank 2 Number,Rank 2 Name,Rank 2 Rider,Rank 2 W,Rank 2 P,Rank 3 Number,Rank 3 Name,Rank 3 Rider,Rank 3 W,Rank 3 P,Rank 4 Number,Rank 4 Name,Rank 4 Rider,Rank 4 W,Rank 4 P,Win,Place,Qulnella,Exacta,Trifecta,First 4,Double,Quaddle,Qulnella Results,Qulnella Dividends,Exacta Results,Exacta Dividends,Trifecta Results,Trifecta Dividends,First 4 Results,First 4 Dividends
0,ARO,Fonner Park - USA,07:08,1308,FONNER PARK - DIRT CLAIMING,6,AIR ASSAULT (USA),ARMANDO MARTINEZ,8.40,2.50,10,BIG HEARTED FACTOR (USA),JAKE OLESIAK,-,1.40,4,DIESEL'S PRIZE (USA),CHRIS FACKLER,-,2.10, , , , , ,"1,764",586,390,286,"1,761",48,-,-,6-10,10.60,6-10,27.70,6-10-4,133.00,6-7,46.00
1,ARO,Fonner Park - USA,07:41,1207,FONNER PARK - DIRT CLAIMING,7,FRANKI D ORO (USA),DAKOTA WOOD,3.10,1.50,1,TERRI'S TEMPER (USA),RICARDO MARTINEZ,-,3.40,8,WACCA WACCA WACCA (USA),JARRED JOURNET,-,1.90, , , , , ,"1,600",568,258,274,"1,717",64,155,-,1-7,17.90,7-1,36.50,7-1-8,122.70,6-7,46.00
2,ARO,Fonner Park - USA,08:10,1207,FONNER PARK - DIRT CLAIMING,5,MAGNANIMUS MAN (USA),JAKE OLESIAK,2.10,1.70,7,HOLIDAY JOKE (USA),RICARDO MARTINEZ,-,4.20,8,EMPIRICAL DATA (USA),LUIS RODRIGUEZ,-,3.70, , , , , ,"1,339",556,317,246,"2,169",40,-,-,5-7,40.40,5-7,111.30,5-7-8,403.60,7-5,5.10
3,ARO,Fonner Park - USA,08:37,1207,FONNER PARK - DIRT ALLOWANCE OPT CLAIMING,5,LET'S GO PLACES (USA),RICARDO MARTINEZ,32.40,5.20,8,INDY N ROSES (USA),DAKOTA WOOD,-,1.80,10,MAY FLOWERS (USA),CHRIS FACKLER,-,1.70, , , , , ,"1,368",527,503,403,"2,678",62,-,-,5-8,103.50,5-8,125.80,5-8-10,800.20,5-5,64.00
4,ARO,Fonner Park - USA,09:06,1609,FONNER PARK - DIRT CLAIMING,6,BIG EGYPT (USA),JAKE OLESIAK,4.00,1.50,8,SPUNKY KITTEN (USA),SCOTT BETHKE,-,3.10,7,BEST TRICK YET (USA),RICARDO MARTINEZ,-,5.20, , , , , ,"2,078",846,691,533,"3,685",-,-,-,6-8,31.70,6-8,41.80,6-8-7,680.90,"5-6
                                            Partial C/O","100.00
                                            (38.89)"
0,BR,Doomben,09:23,2240,HAPPY RETIREMENT REDZEL MAIDEN PLATE MDN-SW,6,STEEL PIER,ADIN THOMPSON (A),1.60,1.10,2,LIKEABEEL,MICHEAL HELLYER,-,10.60,5,JERRY ZANDA,BAYLEE NOTHDURFT (A),-,1.20,7,COMZELADY,DALE SMITH,-,-,13.4K,"5,805","5,204","2,059",10.8K,"9,630","2,004",-,2-6,71.40,6-2,93.20,6-2-5,391.00,6-2-5-7,2072.50
1,BR,Doomben,09:58,1050,TAB QTIS TWO-YEARS-OLD MAIDEN PLATE 2Y MDN-SW,7,HAMILTON HILL,SEAN CORMACK,3.90,1.80,10,SHOOTING ROSES (NZ),JUSTIN HUXTABLE (A),-,1.10,9,ROMAN REIGN,MICHAEL MURPHY,-,7.60,3,KIPCHOGE,BAYLEE NOTHDURFT (A),-,-,12.6K,"5,473","5,057","2,153",11.7K,"9,689","1,445",-,7-10,4.60,7-10,9.50,7-10-9,349.70,7-10-9-3,966.80
0,MDB,The Meadows,10:26,525,SKY RACING (1-3 WIN)(250+RANK) HT1 RSDWHT,1,KUDOS BALE,S. GRENFELL,12.30,2.10,3,MEPUNGA MISSILE,J. BRITTON,-,1.04,2,ASTON SELECT,M. CHILCOTT,-,2.20,5,ASTON ELSIE,S. PAYNE,-,-,"3,760","2,294","2,205",849,"5,193","5,908",156,"3,234",1-3,6.50,1-3,30.90,1-3-2,92.10,1-3-2-5,516.80
2,BR,Doomben,10:33,1050,THANK YOU SCHOOL TEACHERS QTIS TWO-YEARS-OLD MAIDEN PLATE 2Y MDN-SW,5,AVIEMORE,SEAN CORMACK,9.50,3.00,2,CORVO,ANTHONY ALLEN,-,3.10,10,SIP IT SLOW,JAKE BAYLISS,-,1.60,11,SWEET RHAPSODY,JAMES ORMAN,-,-,17.4K,"6,104","5,620","2,174",10.7K,"9,432","1,090",17.3K,2-5,48.20,5-2,193.60,5-2-10,977.60,5-2-10-11,6266.00
0,AD,Murray Bridge,10:40,300,TABCORP MAIDEN STAKE MDN,2,GRIT BLASTER,R. HARNAS,2.70,1.04,5,LUBOKO,D. ANDERSON,-,1.30,7,SENIOR SANCHEZ,R. HARNAS,-,1.50,6,KICK UP,D. ANDERSON,-,-,"3,934","1,364","1,176",407,"2,658","3,900",19,174,2-5,3.90,2-5,11.30,2-5-7,19.40,2-5-7-6,54.50
1,MDB,The Meadows,10:45,525,TAB.COM.AU (1-3WIN)(250+RANK) HT2 RSDWHT,6,MEPUNGA FELIX,J. BRITTON,3.30,1.40,1,LILY POTTER,L. COCKERELL,-,1.40,5,ROCKSTAR CARMODY,A. DAILLY,-,1.30,7,ASTON ATHENA,T. WOMANN,-,-,"4,600","2,117","1,804",692,"3,815","3,705",151,-,1-6,5.00,6-1,12.50,6-1-5,47.80,6-1-5-7,177.50
0,SR,Canterbury,10:50,1200,HYLAND RACE COLOURS HANDICAP 2YF MDN HCP,5,BELLEVUE STAR,TIM CLARK,5.90,1.70,3,ELIZABEEL,ROBBIE DOLAN (A1.5),-,1.30,1,KIKU,BRENTON AVDULLA,-,1.20,8,WILD IRISH,GLEN BOSS,-,-,16.9K,"8,182","6,351","2,348",10.4K,"9,188","1,873",30.6K,3-5,12.30,5-3,43.10,5-3-1,74.20,5-3-1-8,363.10
1,AD,Murray Bridge,10:55,300,DAISH IRRIGATION AND FODDER MAIDEN STAKE MDN,6,WHEEL BURNER,M. STEWART,3.10,1.20,7,TIBETAN,R. HARNAS,-,2.60,2,FLORAL NOTES,D. ANDERSON,-,-,1,CAWBOURNE HORSE,L. RASMUSSEN,-,-,"4,327","1,330","1,098",332,"2,215","2,784",20,-,6-7,6.10,6-7,12.40,6-7-2,60.40,6-7-2-1,96.20
0,MR,Bendigo,11:00,1100,HYGAIN 2YO HANDICAP 2Y HCP,2,THE LAST CHARGE,BEAU MERTENS,9.40,2.60,9,RIVER TWAIN,DAMIEN OLIVER,-,3.50,11,TAYLOR'S DREAM,JYE MCNEIL,-,2.40,5,MASTER BARTHOLDI,BRETT PREBBLE,-,-,25.1K,15K,11.3K,"3,615",20.8K,12.3K,"5,579",79.5K,2-9,55.30,2-9,90.70,2-9-11,1059.20,2-9-11-5,2833.10
2,MDB,The Meadows,11:04,525,MEADOWS CONFERENCE & EVENTS CENTRE MX 6/7,8,SECRET CHIMP,G. BERRY,4.50,1.30,2,GRIME TIME ZEUS,G. MANNION,-,3.20,7,DIAMOND CARTEL,C. FULFORD,-,2.70,6,SIXTIES ROCKER,R. MOORE,-,-,"3,948","1,333","1,209",621,"3,927","4,452",84,-,2-8,49.90,8-2,68.10,8-2-7,321.10,8-2-7-6,960.30
3,BR,Doomben,11:08,1200,GENERAL NEDIYM MAIDEN PLATE MDN-SW,4,DAULAT TAI PANAZIZ,MARK DU PLESSIS,4.60,1.80,8,AROSEFORZOU,DALE SMITH,-,6.70,10,KOKOPO KITTY,LUKE TARRANT,-,2.40,13,GEOVANNI (EM1),ANTHONY ALLEN,-,-,13.4K,"8,272","4,418","1,380","9,206","6,379","1,157",-,4-8,90.10,4-8,100.30,4-8-10,779.00,"4-8-10-13
                                            Partial C/O","4905.20
                                            (1259.30)"
2,AD,Murray Bridge,11:12,300,SKY RACING STAKE GR6,7,HELLO BEAUTIFUL,B. STAMENKOVIC,1.40,1.04,6,BABY BROOKE,A. MIEGEL,-,2.30,4,NIGHT GLOW,K. BEWLEY,-,-,8,AMERICAN MOVIE,J. HAAGMANS,-,-,"2,175",763,556,540,"1,842","2,891",5,-,6-7,3.30,7-6,4.10,7-6-4,11.50,7-6-4-8,13.70
0,MTX,Stawell,11:18,2180,STAWELL WINDOWS & GLASS 3YO & OLDER TROT 3Y AND OLDER,5,MAORI AMOUR,PADDY MEADE,7.10,3.00,3,INDEFENSIBLE,GRANT CAMPBELL,-,1.90,4,MAJESTIC ACHIEVER (NZ),ASHLEY AINSWORTH,-,-,8,WISP OF SMOKE,JASON LEE,-,-,"2,734","1,000",769,393,"2,954","3,234",259,"4,561",3-5,20.40,5-3,20.80,5-3-4,325.10,5-3-4-8,582.10
3,MDB,The Meadows,11:22,525,TOP CAT VIDEO HT1 GR5 HT,4,BUBBLES,K. LEEK,3.70,2.00,5,IAGO BALE,A. DAILLY,-,1.10,7,TIGGERLONG GINGA,S. GRENFELL,-,-,8,SUVLA BAY,B. REID,-,-,"3,589","1,355",937,560,"2,508","2,550",39,-,4-5,2.80,4-5,7.20,4-5-7,25.60,4-5-7-8,86.60
1,SR,Canterbury,11:25,1200,TOO DARN HOT @ DARLEY HANDICAP 2YCG MDN HCP,4,SAUVESTRE,BRENTON AVDULLA,11.70,3.30,3,INVEIGLE,TIM CLARK,-,1.70,6,SWITCH PLAY (NZ),SAM CLIPPERTON,-,7.30,1,ACHIEVER,NASH RAWILLER,-,-,15.1K,"7,630","5,121","1,512","8,116","8,071","1,556",-,3-4,28.00,4-3,70.90,4-3-6,853.60,4-3-6-1,3309.90
3,AD,Murray Bridge,11:30,300,METRO ROLLER DOORS STAKE GR6,1,KISSES FOR CHLOE,R. FEWINGS,1.10,1.04,4,GEMTREE ABLAZE,I. REHMANN,-,2.70,6,BOTTLED FURY,T. HINRICHSEN,-,-,8,SLEEPWALK DANCE,J. HAAGMANS,-,-,"3,610","1,535",916,683,"2,527","5,697",6,-,1-4,3.10,1-4,3.70,1-4-6,12.00,1-4-6-8,25.40
1,MR,Bendigo,11:35,1000,THE BIG SCREEN COMPANY MAIDEN PLATE MDN-SW,11,MONETIZING,DAMIEN OLIVER,1.60,1.20,5,DYNAMIC DUO,JAKE NOONAN,-,1.20,3,LIVE LIKE,JAMIE KAH,-,2.00,2,ALL STARR COURAGE,JORDAN CHILDS,-,-,22.1K,"8,762","9,774","3,412",26.7K,23.9K,"3,940",-,5-11,1.50,11-5,2.30,11-5-3,6.10,11-5-3-2,22.60
4,MDB,The Meadows,11:39,525,TAB MULTIPLIER HT2 GR5 HT,2,ELVISA BALE,A. DAILLY,10.70,4.00,8,SHANLYN ROSE,D. KLEMKE,-,3.10,4,DUNDEE JOKER,G. SCOTT-SMITH,-,-,3,TOBY TIME,A. AZZOPARDI,-,-,"3,495","1,309","1,274",678,"3,886","4,912",91,"5,069",2-8,39.80,2-8,48.80,2-8-4,539.80,2-8-4-3,1381.10
4,BR,Doomben,11:43,1350,MOSSMAN QTIS THREE-YEARS-OLD HANDICAP 3Y  HCP,2,SHADOW OF TIME,DALE SMITH,3.10,1.90,5,REBEL ROCK,TAYLOR MARSHALL,-,2.00,6,FLAME PRINCESS,LUKE TARRANT,-,-,9,ISABELLA'S SPRING,COREY BAYLISS (A),-,-,14.8K,"4,655","4,959","1,249","8,510",17.3K,"1,217",-,2-5,2.60,2-5,5.00,2-5-6,18.00,2-5-6-9,109.40
4,AD,Murray Bridge,11:47,300,MURRAY BRIDGE COMMUNITY CLUB STAKE GR6,1,JABARI,N. MANN,2.30,1.80,4,CAWBOURNE TOE,T. RASMUSSEN,-,1.20,2,SNEAKY OPTION,D. TURNER,-,-,7,LASER GUY,I. REHMANN,-,-,"4,971","1,133",957,418,"2,025","2,652",17,217,1-4,2.80,1-4,5.50,1-4-2,20.60,1-4-2-7,41.70
0,AR,Mount Gambier,11:50,900,DO IT YOURSELF FENCING / SABOIS MAIDEN PLATE MDN-SW,1,RANGER FRANK,SHAYNE CAHILL,-,4.50,4,FREE TO DANCE,DYLAN CABOCHE (A),-,-,6,WYNTER LADY,ANNA JORDSJO (A),-,-,5,QUIP,TEAGAN VOORHAM (A1.5),-,-,12.8K,Aban.,"1,229",703,"2,795","5,373",815,"8,646",1-4,3.40,1-4,11.60,1-4-6,14.20,1-4-6-5,20.00
1,MTX,Stawell,11:53,2180,STAWELL NEWSAGENCY TROT NR 52 TO 65,4,GUS AN MAORI,SOFIA ARVIDSSON,2.20,1.30,3,DOWN UNDER EARL,JACKIE BARKER,-,1.80,5,ICICLE,MICHAEL BELLMAN,-,1.80,8,DEFENCE GOT JUMPED,GRANT CAMPBELL,-,-,"5,410","1,759","1,441",734,"3,477","4,086",270,-,3-4,14.50,4-3,19.70,4-3-5,77.50,4-3-5-8,1678.80
