S.No,Start,Distance,Race Name,Rank 1 Number,Rank 1 Name,Rank 1 Rider,Rank 1 W,Rank 1 P,Rank 2 Number,Rank 2 Name,Rank 2 Rider,Rank 2 W,Rank 2 P,Rank 3 Number,Rank 3 Name,Rank 3 Rider,Rank 3 P,Rank 3 W,Rank 4 Number,Rank 4 Name,Rank 4 Rider,Rank 4 W,Rank 4 P,Win,Place,Qulnella,Exacta,Trifecta,First4,Double,Quaddle,Qulnella Results,Qulnella Dividends,Exacta Results,Exacta Dividends,Trifecta Results,Trifecta Dividends,First4 Results,First4 Dividends
0,15:07,2138,OHOKA PUNTER @ EGMONT PARK STUD PACE NO NR PACE,6,ANYCHANCE,DARREN WEEKS,2.7,1.6,4,OUR MAJOR DAY,PETE MCMULLEN,-,2.8,9,SLICE OF HEAVEN (NZ),CHRIS GEARY,-,2.5,5,THE BUS,KYLIE RASMUSSEN,-,-,10.9K,"4,002","2,567","1,489","6,164","3,655",198,"1,304",04-Jun,11.7,06-Apr,26.1,06-04-2009,54.7,6-4-9-5,308.5
1,15:33,2138,GARRARDS HORSE & HOUND BAND 5 PACE BAND 5 PACE,9,SUBTLE DELIGHT,JUSTIN ELKINS,3.1,1.6,2,SEA HAWKE,GRANT DIXON,-,2.1,6,HES OKEY DOKEY (NZ),ISOBEL ROSS,-,2.4,3,NEWPORT DREAMZ,REECE MAGUIRE,-,-,"9,932","3,203","2,150","1,255","5,790","3,521",134,-,02-Sep,17.4,09-Feb,24.2,09-02-2006,122.4,9-2-6-3,779.4
2,16:07,2138,MR FEELGOOD @ EGMONT PARK STUD BAND 5 PACE BAND 5 PACE,1,MIDNIGHT MAN,NARISSA MCMULLEN,1.5,1.04,8,HES NOVAK (NZ),LOLA WEIDEMANN,-,3.2,7,PARISIAN ROCKSTAR,REECE MAGUIRE,-,20.2,6,JUMPING JOLT,JUSTIN ELKINS,-,-,"6,631","6,202","2,086","1,432","8,023","6,546",262,-,01-Aug,4.4,01-Aug,7,01-08-2007,130.2,1-8-7-6,598.1
3,16:35,1660,PRYDE'S EASIFEED QUALIFYING PACE NO NR PACE,9,SAM IS PERFECTION,BRENDAN BARNES,5.4,2.4,1,THE CRUISE MISSILE (NZ),NARISSA MCMULLEN,-,1.2,10,JOHNNY WHITE (NZ),LACHIE MANZELMANN,-,2,5,MAJOR GENERALJUJON,GRANT DIXON,-,-,"8,348","3,710","2,184","1,287","5,638","3,606",140,-,01-Sep,10.3,09-Jan,24.7,09-01-2010,68.2,9-1-10-5,912.5
4,17:07,1660,SKY RACING QUALIFYING PACE NO NR PACE,6,LETTUCEFIRESTAR,DANNY GATT-BOUQUET,7.2,2.5,1,OASIS DREAM (NZ),MADI DUX,-,3.3,5,THE DOORMAN (NZ),NARISSA MCMULLEN,-,1.9,8,COOL SCOOTER (NZ),KELLI DAWSON,-,-,"7,625","4,478","1,849","1,032","5,753","3,198",110,"2,926",01-Jun,39.6,06-Jan,114.5,06-01-2005,524,6-1-5-8,3644.2
5,17:37,1660,BADCOCK GROUP OF COMPANIES MARES PACE NR 70 TO 90 PACE,2,CHERRYS THE BEST,TRISTA DIXON,7.1,1.3,9,JUST ROKIN,NATHAN DAWSON,-,2.6,3,DEMETER (NZ),REECE MAGUIRE,-,3.1,6,PELOSI,JOHN CREMIN,-,-,"7,803","3,162","1,416","1,331","6,496","5,545",158,-,02-Sep,82.5,02-Sep,105.9,02-09-2003,631.7,2-9-3-6,2559.7
6,18:08,1660,AQWA CONSTRUCTIONS QUALIFYING B PACE NO NR PACE,3,SHAZAM SHANNON,LOLA WEIDEMANN,18.3,4.2,4,LIVE ATOM,MATT ELKINS,-,1.8,9,SHERIFF JUJON,GRANT DIXON,-,1.9,1,JOVIAL JULIE,TRISTA DIXON,-,-,"9,219","4,530","2,214","1,058","6,778","3,020",201,-,03-Apr,46.8,03-Apr,97.5,03-04-2009,696,3-4-9-1,2039.9
7,18:37,1660,TAB PERSEVERENCE PACE 3UP NR 50 TO 60 PACE,6,JILLIBY GIZMO,TRENT MOFFAT,8.4,2.7,9,ROLLONX,CHRIS GEARY,-,3.6,8,IDEAL TIGER (NZ),CLINT SNEDDON,-,2.2,3,WHERES TASCOTT,TALEAH MCMULLEN,-,-,10.1K,"4,767","2,590","1,727","7,220","2,861",257,-,06-Sep,61.3,06-Sep,80.2,06-09-2008,604,"6-9-8-3
                                            Partial C/O","4435.50
                                            (1253.78)"
8,19:10,2138,REMEMBERING 'PENNY THE PUSSYCAT' OPEN PACE NO NR PACE,7,MAJOR CAM,KYLIE RASMUSSEN,1.4,1.3,1,CASINO TOMMY,NATHAN DAWSON,-,1.4,6,DARK ENERGY (NZ),GRANT DIXON,-,-,2,CLINTAL DO,LOLA WEIDEMANN,-,-,"4,550","2,221","1,429","1,489","4,493",10.8K,182,-,01-Jul,2,07-Jan,2.8,07-01-2006,9.1,7-1-6-2,23.4
9,19:45,2138,CHANGEOVER @ BURWOOD STUD MARES QUALIFYING PACE NO NR PACE,6,MISS MONEYBAGS,GRANT DIXON,2.9,1.3,7,OUR DELIGHT,PETE MCMULLEN,-,2.3,2,KOTARE ELITE (NZ),ISOBEL ROSS,-,2,1,LETHAL STAR (NZ),TALEAH MCMULLEN,-,-,"6,331","2,689","1,688",868,"4,450","2,322",-,-,06-Jul,11.6,06-Jul,17.4,06-07-2002,83.1,6-7-2-1,210.7
